0_29,69580654,6 files
0_30,112717654,6 files
0_31,109784504,6 files
0_32,106548654,6 files
0_33,105437354,6 files
0_34,105727004,6 files
0_35,104948454,6 files
0_36,106845554,6 files
0_37,105153504,6 files
0_38,104095304,6 files
0_39,102545254,6 files
0_40,100492904,6 files
0_41,98649204,6 files
0_42,98373104,6 files
0_43,82331804,6 files
0_44,81432904,6 files
0_45,80875004,6 files
0_46,80525704,6 files
0_47,79815504,6 files
0_48,79629004,6 files
0_49,78861154,6 files
0_50,78393304,6 files
0_51,77097504,6 files
0_52,74319404,6 files
0_53,71004804,6 files
0_54,68446704,6 files
0_55,66015804,6 files
0_56,63756904,6 files
0_57,60910704,6 files
0_58,57700454,6 files
0_59,54457004,6 files
0_60,50907454,6 files
0_61,47443304,6 files
0_62,44228804,6 files
0_63,41314554,6 files
0_64,38675504,6 files
0_65,36361604,6 files
0_66,34325104,6 files
0_67,32349204,6 files
0_68,30047904,6 files
0_69,27833804,6 files
0_70,25808604,6 files
0_71,24076504,6 files
0_72,22424304,6 files
0_73,20836004,6 files
0_74,19480704,6 files
0_75,18254704,6 files
0_76,16847854,6 files
0_77,15396704,6 files
0_78,14223204,6 files
0_79,13374504,6 files
0_80,12683404,6 files
0_81,12146204,6 files
0_82,11304154,6 files
0_83,10566104,6 files
0_84,9731604,6 files
0_85,8896904,6 files
0_86,8133154,6 files
0_87,7641004,6 files
0_88,7093804,6 files
0_89,6611404,6 files
0_90,6209504,6 files
0_91,5910804,6 files
0_92,5730504,6 files
0_93,5505804,6 files
0_94,5266704,6 files
0_95,4814554,6 files
0_96,4344204,6 files
0_97,3962904,6 files
0_98,3664804,6 files
