Sim 1,,
Pre,,
Timeslice,Bytes,# of Files
1_29,110101804,6
1_30,111541704,6
1_31,114306704,6
1_32,115577904,6
1_33,118379004,6
1_34,118529004,6
1_35,114950304,6
1_36,117730204,6
1_37,127187304,6
1_38,133919504,6
1_39,117777604,6
1_40,125559104,6
1_41,128649804,6
1_42,135129804,6
1_43,140834204,6
1_44,136175704,6
1_45,139195004,6
1_46,139737404,6
1_47,140329604,6
1_48,152819204,6
1_49,155656604,6
1_50,138592454,6
1_51,154285104,6
1_52,155795804,6
1_53,161819404,6
1_54,164536604,6
1_55,171200004,6
1_56,170485204,6
1_57,174258104,6
1_58,176433604,6
1_59,182353204,6
1_60,181523304,6
1_61,175820504,6
1_62,183693704,6
1_63,184843904,6
1_64,192218254,6
1_65,199727604,6
1_66,203624304,6
1_67,196014104,6
1_68,192529704,6
1_69,196856804,6
1_70,201893604,6
1_71,194654904,6
1_72,188821404,6
1_73,195634204,6
1_74,194136404,6
1_75,193281804,6
1_76,194173154,6
1_77,194824204,6
1_78,194585004,6
1_79,190629004,6
1_80,194044704,6
1_81,199976204,6
1_82,195523404,6
1_83,200396104,6
1_84,198825604,6
1_85,198060304,6
1_86,202587904,6
1_87,208146804,6
1_88,199795204,6
1_89,202187104,6
1_90,211531004,6
1_91,211546604,6
1_92,211641904,6
1_93,210797704,6
1_94,217018104,6
1_95,215090204,6
1_96,214221604,6
1_97,209424704,6
1_98,214693904,6
